                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5122,                 4.4531,                 5.3165,                 1.5423,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.9859,                 4.4301,                  9.133,                 1.7485,                 0.0928,                 0.0008,                 0.0008
                      1,                  1.633,                 2.6945,                 2.2887,                 1.1306,                0.43074,                0.43151,                0.35616,                0.16385,                0.43801,                0.43784,                0.35838,                0.15119,                 1.8293,                 2.1774,                 1.7336,                 1.1126,               0.084532,              0.0015317,              0.0015317
                      2,                 1.1669,                 1.8986,                  1.215,                0.95444,                0.72738,                0.65243,                 0.6984,                0.38622,                0.68487,                0.61568,                0.63805,                0.26542,                 1.3827,                 1.9822,                 1.4759,                  0.973,               0.076085,              0.0020852,              0.0020852
                      3,                 1.0775,                 1.7347,                0.96138,                0.93048,                0.71118,                0.73514,                0.72509,                0.42555,                0.68421,                0.67838,                0.66503,                0.28788,                 1.2889,                 1.8412,                 1.4451,                0.93081,               0.067461,              0.0024605,              0.0024605
                      4,                 1.0994,                 1.6933,                0.96725,                0.92245,                0.77957,                0.75892,                0.77375,                0.45537,                0.74668,                0.70757,                0.72036,                 0.3275,                 1.2468,                 1.7911,                  1.063,                0.92763,               0.058658,              0.0026576,              0.0026576
                      5,                 1.0663,                 1.6087,                0.83683,                0.91851,                0.69406,                0.68865,                0.65757,                0.36195,                0.67532,                0.65838,                0.62592,                 0.2905,                 1.3184,                 1.7972,                 1.2676,                0.94319,               0.049677,              0.0026765,              0.0026765
                      6,                 1.0824,                 1.6781,                 1.0008,                0.91865,                0.79333,                0.74698,                0.78158,                0.46386,                0.74757,                0.69784,                0.71387,                0.32754,                 1.2258,                 1.7108,                 0.8719,                0.92489,               0.040517,              0.0025172,              0.0025172
                      7,                 1.0651,                 1.6377,                0.80435,                0.90593,                0.80316,                0.75568,                0.78898,                0.45711,                0.78328,                0.72054,                0.74416,                0.35983,                  1.257,                 1.7345,                0.90594,                0.91944,                0.03118,              0.0021797,              0.0021797
                      8,                 1.0172,                 1.5704,                0.80066,                0.90914,                0.78038,                0.78174,                0.80681,                0.46039,                 0.7504,                 0.6973,                0.72651,                0.32346,                 1.2412,                 1.6784,                0.87921,                0.91484,               0.021664,               0.001664,               0.001664
                      9,                0.98566,                 1.5344,                0.72585,                0.89027,                0.78782,                0.78273,                0.83674,                0.49941,                0.77433,                0.70757,                0.75735,                0.34344,                 1.1771,                   1.64,                0.83363,                0.90627,                0.01197,              0.0009701,              0.0009701
